Handler,Official,Category
cnn,yes,real
cnbc,yes,real
forbes,yes,real
nytimes,yes,real
usatoday,yes,real
washingtonpost,yes,real
FoxNews,yes,real
bbcnews,yes,real
ThePatriotReview,no,fake
ABCNews,yes,fake
civictribune,yes,fake
CreamBmp,no,fake
DcGazette,no,fake
MattDrudge,no,fake
Newslo1,no,fake
NewshoundMedia,no,fake
msnbc,yes,fake
MegynKelly,yes,fake
Mediamass,no,fake
United-Media-Publishing-467182076779325,no,fake
EmpireNewsNet,no,fake
100PercentFEDUp,no,misleading
21WIRE.TV,no,misleading
activistpost,no,misleading
shareblue,yes,misleading
coasttocoastam,yes,misleading
consciouslifenews,no,misleading
IndiaToday,yes,real
Timesnow,yes,real
ndtv,yes,real
Newsxonline,yes,real
ChannelRepublic,yes,real
cbc,yes,real
Citytv,yes,real
globaltelevision,yes,real
Citytv,yes,real
bbcnews,yes,real
euronews,yes,real
FRANCE24.English,yes,real
artetv,yes,real
BFMTV,yes,real
LCP,yes,real

